Year,SMW,Date,Crop_Week,Location,Variety,PDI,Max_Temp,Min_Temp,Max_Humidity,Min_Humidity,No_of_Rainy_Days,Rainfall,Wind_Velocity,Disease,Diesease Severity,Predicted Disease
2021,34,20-08-2021 to 26-08-2021,8,Jabalpur,JS 95-60,2,30.7,24.7,87,67,0,2.2,4.3,Charcoal Rot,,
2021,35,27-08-2021 to 02-09-2021,9,Jabalpur,JS 95-60,14.5,31.6,24.5,86,68,0,2.5,3.4,Charcoal Rot,,
2021,36,03-09-2021 to 09-09-2021,10,Jabalpur,JS 95-60,38,31.4,24.1,91,78,4,35.7,3.5,Charcoal Rot,,
2021,37,10-09-2021 to 16-09-2021,11,Jabalpur,JS 95-60,49,30,23.8,93,81,4,100.8,3,Charcoal Rot,,
2021,38,17-09-2021 to 23-09-2021,12,Jabalpur,JS 95-60,48,30.9,23.6,89,68,2,16.3,3.1,Charcoal Rot,,
2021,39,24-09-2021 to 30-09-2021,13,Jabalpur,JS 95-60,0,31.9,24.1,88,62,1,3.8,3.3,Charcoal Rot,,
2021,29,16-07-2021 to 22-07-2021,3,Jabalpur,JS 95-60,0.31,33.4,25.4,84.1,70,3,35.4,3.9,Yellow Mosaic Disease,,
2021,30,23-07-2021 to 29-07-2021,4,Jabalpur,JS 95-60,5.68,27.7,23.8,94.6,85.1,5,130.4,5.7,Yellow Mosaic Disease,,
2021,31,30-07-2021 to 05-08-2021,5,Jabalpur,JS 95-60,19.07,26.8,23.4,91.1,84.1,6,43.7,8,Yellow Mosaic Disease,,
2021,32,06-08-2021 to 12-08-2021,6,Jabalpur,JS 95-60,24.44,28.5,24.2,90,79,2,11.1,6.2,Yellow Mosaic Disease,,
2021,33,13-08-2021 to 19-08-2021,7,Jabalpur,JS 95-60,28.27,32.6,24.7,89,71,3,42.3,3.3,Yellow Mosaic Disease,,
2021,33,13-08-2021 to 19-08-2022,8,Jabalpur,JS 95-60,29.01,30.7,24.7,87,67,0,2.2,4.3,Yellow Mosaic Disease,,
2021,33,13-08-2021 to 19-08-2023,9,Jabalpur,JS 95-60,29.2,31.6,24.5,86,68,0,2.5,3.4,Yellow Mosaic Disease,,
2021,33,13-08-2021 to 19-08-2024,10,Jabalpur,JS 95-60,29.07,31.4,24.1,91,78,4,35.7,3.5,Yellow Mosaic Disease,,
2021,33,13-08-2021 to 19-08-2025,11,Jabalpur,JS 95-60,0,30,23.8,93,81,4,100.8,3,Yellow Mosaic Disease,,
2021,33,13-08-2021 to 19-08-2021,7,Jabalpur,JS 95-60,0.37,32.6,24.7,89,71,3,42.3,3.3,Rhizoctonia Aerial Blight,,
2021,34,20-08-2021 to 26-08-2021,8,Jabalpur,JS 95-60,0.99,30.7,24.7,87,67,0,2.2,4.3,Rhizoctonia Aerial Blight,,
2021,35,27-08-2021 to 02-09-2021,9,Jabalpur,JS 95-60,1.42,31.6,24.5,86,68,0,2.5,3.4,Rhizoctonia Aerial Blight,,
2021,36,03-09-2021 to 09-09-2021,10,Jabalpur,JS 95-60,3.09,31.4,24.1,91,78,4,35.7,3.5,Rhizoctonia Aerial Blight,,
2021,37,10-09-2021 to 16-09-2021,11,Jabalpur,JS 95-60,5.43,30,23.8,93,81,4,100.8,3,Rhizoctonia Aerial Blight,,
2021,38,17-09-2021 to 23-09-2021,12,Jabalpur,JS 95-60,0,30.9,23.6,89,68,2,16.3,3.1,Rhizoctonia Aerial Blight,,
2021,31,30-07-2021 to 05-08-2021,5,Jabalpur,JS 95-60,0,26.8,23.4,91.1,84.1,6,43.7,8,Anthracnose,,
2021,32,06-08-2021 to 12-08-2021,6,Jabalpur,JS 95-60,4.44,28.5,24.2,90,79,2,11.1,6.2,Anthracnose,,
2021,33,13-08-2021 to 19-08-2021,7,Jabalpur,JS 95-60,13.56,32.6,24.7,89,71,3,42.3,3.3,Anthracnose,,
2021,34,20-08-2021 to 26-08-2021,8,Jabalpur,JS 95-60,33.11,30.7,24.7,87,67,0,2.2,4.3,Anthracnose,,
2021,35,27-08-2021 to 02-09-2021,9,Jabalpur,JS 95-60,41.78,31.6,24.5,86,68,0,2.5,3.4,Anthracnose,,
2021,36,03-09-2021 to 09-09-2021,10,Jabalpur,JS 95-60,52.89,31.4,24.1,91,78,4,35.7,3.5,Anthracnose,,
